venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,total
1,2024-04-18,1.0,1,1.0,899.99,899.99
2,2024-02-25,4.0,17,5.0,34.99,174.95
3,2024-01-07,9.0,7,5.0,109.99,549.95
4,2024-04-17,4.0,15,5.0,49.99,249.95
5,2024-03-12,1.0,6,4.0,59.99,239.96
6,2024-03-28,,5,2.0,149.99,299.98
7,2024-03-27,2.0,3,4.0,79.99,319.96
8,2024-01-25,6.0,12,5.0,12.99,64.95
9,2024-03-08,1.0,15,5.0,49.99,249.95
10,2024-02-01,7.0,3,5.0,79.99,399.95
11,2024-03-16,10.0,12,5.0,12.99,64.95
12,2024-02-19,2.0,2,2.0,29.99,59.98
13,2024-03-15,2.0,8,,89.99,89.99
14,2024-04-07,5.0,15,3.0,49.99,149.97
15,2024-02-11,6.0,12,2.0,12.99,25.98
16,2024-06-20,5.0,3,5.0,79.99,399.95
17,2024-06-11,3.0,18,2.0,44.99,89.98
18,2024-02-11,8.0,13,3.0,249.99,749.97
19,2024-06-12,9.0,8,3.0,89.99,269.97
20,2024-01-15,4.0,2,3.0,29.99,89.97
21,2024-04-12,5.0,3,2.0,79.99,159.98
22,2024-05-25,6.0,7,4.0,109.99,439.96
23,2024-04-11,8.0,5,3.0,149.99,449.97
24,2024-02-05,4.0,18,5.0,44.99,224.95
25,2024-03-08,10.0,14,5.0,79.99,399.95
26,2024-04-12,6.0,8,2.0,89.99,179.98
27,2024-05-10,8.0,3,1.0,79.99,79.99
28,2024-01-29,3.0,6,4.0,59.99,239.96
29,2024-06-01,2.0,13,4.0,249.99,999.96
30,2024-06-01,8.0,17,3.0,34.99,104.97
31,2024-05-21,1.0,4,5.0,349.99,1749.95
32,2024-03-09,6.0,4,3.0,349.99,1049.97
33,2024-04-21,3.0,15,1.0,49.99,49.99
34,2024-03-08,9.0,6,5.0,59.99,299.95
35,2024-01-28,5.0,17,5.0,34.99,174.95
36,2024-02-20,3.0,12,2.0,12.99,25.98
37,2024-05-18,9.0,1,5.0,899.99,4499.95
38,2024-03-23,8.0,1,1.0,899.99,899.99
39,2024-04-02,5.0,8,1.0,89.99,89.99
40,2024-03-02,10.0,3,1.0,79.99,79.99
41,2024-05-04,2.0,18,2.0,44.99,89.98
42,2024-02-02,8.0,18,2.0,44.99,89.98
43,2024-03-08,9.0,20,4.0,299.99,1199.96
44,2024-02-24,9.0,7,3.0,109.99,329.97
45,2024-04-12,6.0,15,5.0,49.99,249.95
46,2024-04-25,2.0,8,2.0,89.99,179.98
47,2024-01-17,6.0,1,5.0,899.99,4499.95
48,2024-05-21,4.0,19,2.0,39.99,79.98
49,2024-01-02,2.0,2,2.0,29.99,59.98
50,2024-01-18,1.0,11,1.0,19.99,19.99
51,2024-05-11,4.0,9,4.0,599.99,2399.96
52,2024-02-24,9.0,5,5.0,149.99,749.95
53,2024-05-27,8.0,8,4.0,89.99,359.96
54,2024-04-14,4.0,4,1.0,349.99,349.99
55,2024-06-17,7.0,12,4.0,12.99,51.96
56,2024-04-15,8.0,2,1.0,29.99,29.99
57,2024-01-16,7.0,11,1.0,19.99,19.99
58,2024-03-04,4.0,7,5.0,109.99,549.95
59,2024-04-24,3.0,14,2.0,79.99,159.98
60,2024-03-12,8.0,8,1.0,89.99,89.99
61,2024-04-23,9.0,4,1.0,349.99,349.99
62,2024-06-15,9.0,1,1.0,899.99,899.99
63,2024-03-01,3.0,14,4.0,79.99,319.96
64,2024-05-03,4.0,13,1.0,249.99,249.99
65,2024-02-12,7.0,1,4.0,899.99,3599.96
66,2024-03-08,8.0,10,4.0,699.99,2799.96
67,2024-06-27,9.0,16,2.0,24.99,49.98
68,2024-02-18,5.0,7,1.0,109.99,109.99
69,2024-05-28,9.0,2,3.0,29.99,89.97
70,2024-01-15,1.0,19,4.0,39.99,159.96
71,2024-05-08,9.0,6,1.0,59.99,59.99
72,2024-05-10,2.0,6,1.0,59.99,59.99
73,2024-06-01,2.0,8,4.0,89.99,359.96
74,2024-01-31,10.0,8,5.0,89.99,449.95
75,2024-06-01,1.0,20,1.0,299.99,299.99
76,2024-04-17,10.0,19,5.0,39.99,199.95
77,2024-03-21,5.0,7,3.0,109.99,329.97
78,2024-03-02,5.0,13,2.0,249.99,499.98
79,2024-06-20,5.0,15,3.0,49.99,149.97
80,2024-01-19,1.0,15,5.0,49.99,249.95
81,2024-05-24,2.0,3,5.0,79.99,399.95
82,2024-02-24,9.0,9,2.0,599.99,1199.98
83,2024-03-30,2.0,8,3.0,89.99,269.97
84,2024-03-13,3.0,15,5.0,49.99,249.95
85,2024-06-29,5.0,20,5.0,299.99,1499.95
86,2024-01-03,9.0,10,1.0,699.99,699.99
87,2024-02-04,5.0,4,1.0,349.99,349.99
88,2024-05-21,3.0,9,3.0,599.99,1799.97
89,2024-06-03,4.0,11,2.0,19.99,39.98
90,2024-06-24,5.0,17,4.0,34.99,139.96
91,2024-03-05,1.0,3,4.0,79.99,319.96
92,2024-03-11,1.0,1,3.0,899.99,2699.97
93,2024-02-03,5.0,6,4.0,59.99,239.96
94,2024-05-21,7.0,18,1.0,44.99,44.99
95,2024-01-29,2.0,5,5.0,149.99,749.95
96,2024-01-10,6.0,19,5.0,39.99,199.95
97,2024-02-07,7.0,5,1.0,149.99,149.99
98,2024-03-19,6.0,2,3.0,29.99,89.97
99,2024-02-23,4.0,4,3.0,349.99,1049.97
100,2024-05-23,7.0,20,2.0,299.99,599.98
3,2024-01-07,9.0,7,5.0,109.99,549.95
11,2024-03-16,10.0,12,5.0,12.99,64.95
