venta_id,fecha,cliente_id,producto_id,cantidad,precio_unitario,total,anio,mes,nombre_mes,dia_semana
1,2024-04-18,1,1,1,899.99,899.99,2024,4,April,Thursday
2,2024-02-25,4,17,5,34.99,174.95,2024,2,February,Sunday
3,2024-01-07,9,7,5,109.99,549.95,2024,1,January,Sunday
4,2024-04-17,4,15,5,49.99,249.95,2024,4,April,Wednesday
5,2024-03-12,1,6,4,59.99,239.96,2024,3,March,Tuesday
7,2024-03-27,2,3,4,79.99,319.96,2024,3,March,Wednesday
8,2024-01-25,6,12,5,12.99,64.95,2024,1,January,Thursday
9,2024-03-08,1,15,5,49.99,249.95,2024,3,March,Friday
10,2024-02-01,7,3,5,79.99,399.95,2024,2,February,Thursday
11,2024-03-16,10,12,5,12.99,64.95,2024,3,March,Saturday
12,2024-02-19,2,2,2,29.99,59.98,2024,2,February,Monday
13,2024-03-15,2,8,1,89.99,89.99,2024,3,March,Friday
14,2024-04-07,5,15,3,49.99,149.97,2024,4,April,Sunday
15,2024-02-11,6,12,2,12.99,25.98,2024,2,February,Sunday
16,2024-06-20,5,3,5,79.99,399.95,2024,6,June,Thursday
17,2024-06-11,3,18,2,44.99,89.98,2024,6,June,Tuesday
18,2024-02-11,8,13,3,249.99,749.97,2024,2,February,Sunday
19,2024-06-12,9,8,3,89.99,269.97,2024,6,June,Wednesday
20,2024-01-15,4,2,3,29.99,89.97,2024,1,January,Monday
21,2024-04-12,5,3,2,79.99,159.98,2024,4,April,Friday
22,2024-05-25,6,7,4,109.99,439.96,2024,5,May,Saturday
23,2024-04-11,8,5,3,149.99,449.97,2024,4,April,Thursday
24,2024-02-05,4,18,5,44.99,224.95,2024,2,February,Monday
25,2024-03-08,10,14,5,79.99,399.95,2024,3,March,Friday
26,2024-04-12,6,8,2,89.99,179.98,2024,4,April,Friday
27,2024-05-10,8,3,1,79.99,79.99,2024,5,May,Friday
28,2024-01-29,3,6,4,59.99,239.96,2024,1,January,Monday
29,2024-06-01,2,13,4,249.99,999.96,2024,6,June,Saturday
30,2024-06-01,8,17,3,34.99,104.97,2024,6,June,Saturday
31,2024-05-21,1,4,5,349.99,1749.95,2024,5,May,Tuesday
32,2024-03-09,6,4,3,349.99,1049.97,2024,3,March,Saturday
